Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
801,Initech Corp 801,initechcorp801.com,1977,Industrial,51-200,"Palo Alto, State, UK",UK,https://linkedin.com/company/initechcorp801,5088,5413
802,Hooli Corp 802,hoolicorp802.com,1974,Technology,5001-10000,"Los Angeles, NY, UK",UK,https://linkedin.com/company/hoolicorp802,8901,9013
803,Umbrella Corp 803,umbrellacorp803.com,2004,Industrial,51-200,"London, NY, USA",USA,https://linkedin.com/company/umbrellacorp803,3669,3866
804,Stark Corp 804,starkcorp804.com,2018,Food & Beverage,201-500,"Los Angeles, State, USA",USA,https://linkedin.com/company/starkcorp804,5371,5651
805,Wonka Corp 805,wonkacorp805.com,1969,Tech,51-200,"Gotham, NY, UK",UK,https://linkedin.com/company/wonkacorp805,6591,6998
806,Globex Corp 806,globexcorp806.com,1997,Food & Beverage,1001-5000,"Raccoon City, England, USA",USA,https://linkedin.com/company/globexcorp806,2612,2982
807,Umbrella Corp 807,umbrellacorp807.com,2012,Chemicals,5001-10000,"Gotham, England, UK",UK,https://linkedin.com/company/umbrellacorp807,763,1078
808,Hooli Corp 808,hoolicorp808.com,2017,Technology,201-500,"Raccoon City, England, UK",UK,https://linkedin.com/company/hoolicorp808,7241,7324
809,Hooli Corp 809,hoolicorp809.com,1991,Technology,201-500,"Raccoon City, State, UK",UK,https://linkedin.com/company/hoolicorp809,2558,2770
810,Hooli Corp 810,hoolicorp810.com,2017,Engineering,51-200,"New York, England, UK",UK,https://linkedin.com/company/hoolicorp810,1724,2169
811,Oscorp Corp 811,oscorpcorp811.com,1975,Software,201-500,"Raccoon City, CA, USA",USA,https://linkedin.com/company/oscorpcorp811,7061,7552
812,Wayne Corp 812,waynecorp812.com,1960,Pharma,201-500,"Gotham, NY, USA",USA,https://linkedin.com/company/waynecorp812,1018,1352
813,Wonka Corp 813,wonkacorp813.com,1963,Chemicals,11-50,"Raccoon City, State, USA",USA,https://linkedin.com/company/wonkacorp813,400,791
814,Tyrell Corp 814,tyrellcorp814.com,1989,Software,5001-10000,"Los Angeles, England, UK",UK,https://linkedin.com/company/tyrellcorp814,8782,8903
815,Tyrell Corp 815,tyrellcorp815.com,2005,Tech,11-50,"New York, England, UK",UK,https://linkedin.com/company/tyrellcorp815,6939,7069
816,Initech Corp 816,initechcorp816.com,1981,Pharma,1001-5000,"Los Angeles, NY, USA",USA,https://linkedin.com/company/initechcorp816,723,1039
817,Tyrell Corp 817,tyrellcorp817.com,2021,Food & Beverage,501-1000,"London, NY, UK",UK,https://linkedin.com/company/tyrellcorp817,3053,3122
818,Tyrell Corp 818,tyrellcorp818.com,1960,Pharma,5001-10000,"Los Angeles, CA, USA",USA,https://linkedin.com/company/tyrellcorp818,258,652
819,Oscorp Corp 819,oscorpcorp819.com,2000,Biotech,501-1000,"New York, NY, USA",USA,https://linkedin.com/company/oscorpcorp819,5955,6111
820,Oscorp Corp 820,oscorpcorp820.com,1990,Finance,5001-10000,"New York, NY, USA",USA,https://linkedin.com/company/oscorpcorp820,7735,8178
821,Acme Corp 821,acmecorp821.com,1998,Chemicals,1001-5000,"New York, State, USA",USA,https://linkedin.com/company/acmecorp821,2705,3036
822,Oscorp Corp 822,oscorpcorp822.com,1999,Industrial,5001-10000,"San Francisco, State, UK",UK,https://linkedin.com/company/oscorpcorp822,7820,8220
823,Globex Corp 823,globexcorp823.com,1961,Chemicals,501-1000,"Raccoon City, CA, UK",UK,https://linkedin.com/company/globexcorp823,122,415
824,Oscorp Corp 824,oscorpcorp824.com,1971,Tech,501-1000,"Gotham, State, USA",USA,https://linkedin.com/company/oscorpcorp824,3045,3444
825,Oscorp Corp 825,oscorpcorp825.com,2014,Finance,201-500,"New York, England, USA",USA,https://linkedin.com/company/oscorpcorp825,9563,9905
826,Wonka Corp 826,wonkacorp826.com,2004,Tech,5001-10000,"New York, NY, USA",USA,https://linkedin.com/company/wonkacorp826,1909,2109
827,Stark Corp 827,starkcorp827.com,2016,Technology,1001-5000,"San Francisco, State, UK",UK,https://linkedin.com/company/starkcorp827,7707,7859
828,Acme Corp 828,acmecorp828.com,2022,Engineering,1001-5000,"Palo Alto, State, UK",UK,https://linkedin.com/company/acmecorp828,1546,1611
829,Wonka Corp 829,wonkacorp829.com,2000,Pharma,201-500,"London, England, UK",UK,https://linkedin.com/company/wonkacorp829,4429,4826
830,Globex Corp 830,globexcorp830.com,1972,Finance,5001-10000,"London, State, UK",UK,https://linkedin.com/company/globexcorp830,7480,7492
831,Oscorp Corp 831,oscorpcorp831.com,2018,Industrial,1001-5000,"Los Angeles, England, USA",USA,https://linkedin.com/company/oscorpcorp831,1191,1537
832,Wonka Corp 832,wonkacorp832.com,1997,Industrial,501-1000,"Raccoon City, CA, UK",UK,https://linkedin.com/company/wonkacorp832,8623,8706
833,Wayne Corp 833,waynecorp833.com,2011,Technology,1001-5000,"San Francisco, State, UK",UK,https://linkedin.com/company/waynecorp833,1257,1477
834,Wonka Corp 834,wonkacorp834.com,1972,Biotech,501-1000,"London, NY, UK",UK,https://linkedin.com/company/wonkacorp834,8696,8979
835,Wayne Corp 835,waynecorp835.com,1977,Software,201-500,"Palo Alto, England, USA",USA,https://linkedin.com/company/waynecorp835,7234,7351
836,Globex Corp 836,globexcorp836.com,1971,Tech,501-1000,"Los Angeles, England, UK",UK,https://linkedin.com/company/globexcorp836,1243,1586
837,Wayne Corp 837,waynecorp837.com,2000,Tech,201-500,"Palo Alto, CA, USA",USA,https://linkedin.com/company/waynecorp837,3611,4024
838,Initech Corp 838,initechcorp838.com,1962,Chemicals,51-200,"San Francisco, NY, USA",USA,https://linkedin.com/company/initechcorp838,5257,5383
839,Stark Corp 839,starkcorp839.com,1983,Chemicals,1001-5000,"London, CA, UK",UK,https://linkedin.com/company/starkcorp839,9749,9813
840,Wayne Corp 840,waynecorp840.com,1978,Software,51-200,"San Francisco, State, UK",UK,https://linkedin.com/company/waynecorp840,6121,6210
841,Acme Corp 841,acmecorp841.com,1976,Tech,51-200,"San Francisco, CA, USA",USA,https://linkedin.com/company/acmecorp841,1614,1800
842,Initech Corp 842,initechcorp842.com,1985,Industrial,51-200,"Raccoon City, NY, USA",USA,https://linkedin.com/company/initechcorp842,4378,4695
843,Wayne Corp 843,waynecorp843.com,1981,Food & Beverage,201-500,"Raccoon City, England, UK",UK,https://linkedin.com/company/waynecorp843,607,953
844,Acme Corp 844,acmecorp844.com,2002,Software,51-200,"Los Angeles, NY, USA",USA,https://linkedin.com/company/acmecorp844,7001,7414
845,Tyrell Corp 845,tyrellcorp845.com,1985,Industrial,11-50,"Raccoon City, NY, UK",UK,https://linkedin.com/company/tyrellcorp845,1837,2299
846,Stark Corp 846,starkcorp846.com,1967,Tech,5001-10000,"San Francisco, CA, UK",UK,https://linkedin.com/company/starkcorp846,4573,4629
847,Oscorp Corp 847,oscorpcorp847.com,1986,Industrial,1001-5000,"London, England, UK",UK,https://linkedin.com/company/oscorpcorp847,3163,3383
848,Hooli Corp 848,hoolicorp848.com,1982,Industrial,201-500,"Los Angeles, CA, UK",UK,https://linkedin.com/company/hoolicorp848,2025,2251
849,Globex Corp 849,globexcorp849.com,2000,Finance,51-200,"Los Angeles, State, USA",USA,https://linkedin.com/company/globexcorp849,579,751
850,Wonka Corp 850,wonkacorp850.com,1997,Food & Beverage,5001-10000,"Gotham, State, USA",USA,https://linkedin.com/company/wonkacorp850,9619,9909
851,Acme Corp 851,acmecorp851.com,2017,Food & Beverage,11-50,"New York, NY, USA",USA,https://linkedin.com/company/acmecorp851,8601,8964
852,Oscorp Corp 852,oscorpcorp852.com,1980,Tech,501-1000,"Los Angeles, England, UK",UK,https://linkedin.com/company/oscorpcorp852,7170,7279
853,Wayne Corp 853,waynecorp853.com,1989,Tech,201-500,"Raccoon City, England, UK",UK,https://linkedin.com/company/waynecorp853,9580,9805
854,Wayne Corp 854,waynecorp854.com,2009,Tech,11-50,"Palo Alto, England, UK",UK,https://linkedin.com/company/waynecorp854,3776,4238
855,Stark Corp 855,starkcorp855.com,1983,Finance,201-500,"Raccoon City, NY, UK",UK,https://linkedin.com/company/starkcorp855,5415,5662
856,Umbrella Corp 856,umbrellacorp856.com,2007,Biotech,201-500,"Los Angeles, England, UK",UK,https://linkedin.com/company/umbrellacorp856,1389,1402
857,Wonka Corp 857,wonkacorp857.com,2020,Finance,11-50,"New York, CA, UK",UK,https://linkedin.com/company/wonkacorp857,2890,2923
858,Globex Corp 858,globexcorp858.com,2017,Chemicals,1001-5000,"Palo Alto, England, UK",UK,https://linkedin.com/company/globexcorp858,2476,2879
859,Umbrella Corp 859,umbrellacorp859.com,2011,Finance,5001-10000,"Gotham, England, USA",USA,https://linkedin.com/company/umbrellacorp859,2615,3061
860,Hooli Corp 860,hoolicorp860.com,1966,Engineering,1001-5000,"Raccoon City, CA, USA",USA,https://linkedin.com/company/hoolicorp860,9227,9626
861,Stark Corp 861,starkcorp861.com,1988,Tech,5001-10000,"San Francisco, England, USA",USA,https://linkedin.com/company/starkcorp861,7709,7739
862,Wayne Corp 862,waynecorp862.com,2011,Biotech,501-1000,"New York, NY, UK",UK,https://linkedin.com/company/waynecorp862,851,1164
863,Hooli Corp 863,hoolicorp863.com,1991,Pharma,1001-5000,"Gotham, CA, UK",UK,https://linkedin.com/company/hoolicorp863,8714,8869
864,Globex Corp 864,globexcorp864.com,2011,Software,201-500,"Gotham, CA, UK",UK,https://linkedin.com/company/globexcorp864,245,438
865,Hooli Corp 865,hoolicorp865.com,2010,Industrial,11-50,"Gotham, NY, USA",USA,https://linkedin.com/company/hoolicorp865,5421,5486
866,Globex Corp 866,globexcorp866.com,2001,Finance,201-500,"Gotham, England, USA",USA,https://linkedin.com/company/globexcorp866,6560,6912
867,Globex Corp 867,globexcorp867.com,1995,Chemicals,501-1000,"Los Angeles, State, UK",UK,https://linkedin.com/company/globexcorp867,7611,7930
868,Globex Corp 868,globexcorp868.com,1985,Software,51-200,"Palo Alto, State, UK",UK,https://linkedin.com/company/globexcorp868,5014,5401
869,Globex Corp 869,globexcorp869.com,1998,Tech,201-500,"Raccoon City, England, UK",UK,https://linkedin.com/company/globexcorp869,8983,9390
870,Wayne Corp 870,waynecorp870.com,1971,Finance,5001-10000,"Raccoon City, England, UK",UK,https://linkedin.com/company/waynecorp870,8166,8287
871,Wayne Corp 871,waynecorp871.com,1962,Food & Beverage,1001-5000,"Los Angeles, CA, UK",UK,https://linkedin.com/company/waynecorp871,695,1075
872,Acme Corp 872,acmecorp872.com,2022,Pharma,11-50,"Gotham, England, UK",UK,https://linkedin.com/company/acmecorp872,1641,1884
873,Globex Corp 873,globexcorp873.com,2014,Technology,5001-10000,"Raccoon City, CA, UK",UK,https://linkedin.com/company/globexcorp873,7089,7181
874,Tyrell Corp 874,tyrellcorp874.com,1963,Software,201-500,"Raccoon City, England, UK",UK,https://linkedin.com/company/tyrellcorp874,4670,5011
875,Globex Corp 875,globexcorp875.com,1986,Food & Beverage,51-200,"Gotham, State, USA",USA,https://linkedin.com/company/globexcorp875,6959,7304
876,Globex Corp 876,globexcorp876.com,2022,Technology,201-500,"Los Angeles, State, UK",UK,https://linkedin.com/company/globexcorp876,4743,4753
877,Wonka Corp 877,wonkacorp877.com,2019,Tech,51-200,"Raccoon City, NY, USA",USA,https://linkedin.com/company/wonkacorp877,684,1039
878,Globex Corp 878,globexcorp878.com,1977,Technology,51-200,"Gotham, England, USA",USA,https://linkedin.com/company/globexcorp878,1726,2003
879,Wayne Corp 879,waynecorp879.com,1961,Biotech,11-50,"New York, CA, USA",USA,https://linkedin.com/company/waynecorp879,5441,5880
880,Oscorp Corp 880,oscorpcorp880.com,1987,Engineering,51-200,"San Francisco, England, USA",USA,https://linkedin.com/company/oscorpcorp880,4603,4932
881,Hooli Corp 881,hoolicorp881.com,2008,Tech,201-500,"New York, State, USA",USA,https://linkedin.com/company/hoolicorp881,6629,6835
882,Wonka Corp 882,wonkacorp882.com,1999,Pharma,51-200,"Raccoon City, England, UK",UK,https://linkedin.com/company/wonkacorp882,7585,7615
883,Globex Corp 883,globexcorp883.com,2019,Technology,1001-5000,"Raccoon City, England, USA",USA,https://linkedin.com/company/globexcorp883,8058,8501
884,Acme Corp 884,acmecorp884.com,1961,Software,5001-10000,"Los Angeles, England, USA",USA,https://linkedin.com/company/acmecorp884,9072,9169
885,Stark Corp 885,starkcorp885.com,2008,Technology,51-200,"San Francisco, England, UK",UK,https://linkedin.com/company/starkcorp885,8018,8078
886,Umbrella Corp 886,umbrellacorp886.com,2012,Biotech,5001-10000,"Gotham, NY, UK",UK,https://linkedin.com/company/umbrellacorp886,7536,7788
887,Umbrella Corp 887,umbrellacorp887.com,1992,Software,11-50,"Los Angeles, England, UK",UK,https://linkedin.com/company/umbrellacorp887,8095,8350
888,Wonka Corp 888,wonkacorp888.com,2022,Pharma,501-1000,"London, NY, USA",USA,https://linkedin.com/company/wonkacorp888,1042,1306
889,Initech Corp 889,initechcorp889.com,1981,Pharma,201-500,"San Francisco, State, UK",UK,https://linkedin.com/company/initechcorp889,8216,8689
890,Wayne Corp 890,waynecorp890.com,1983,Industrial,201-500,"Gotham, State, UK",UK,https://linkedin.com/company/waynecorp890,2455,2729
891,Wonka Corp 891,wonkacorp891.com,1990,Software,501-1000,"Gotham, England, UK",UK,https://linkedin.com/company/wonkacorp891,4556,4822
892,Stark Corp 892,starkcorp892.com,2002,Food & Beverage,501-1000,"Gotham, CA, USA",USA,https://linkedin.com/company/starkcorp892,2116,2450
893,Umbrella Corp 893,umbrellacorp893.com,2006,Engineering,5001-10000,"Palo Alto, State, UK",UK,https://linkedin.com/company/umbrellacorp893,5269,5665
894,Stark Corp 894,starkcorp894.com,1981,Biotech,11-50,"Palo Alto, State, USA",USA,https://linkedin.com/company/starkcorp894,8578,8980
895,Oscorp Corp 895,oscorpcorp895.com,1984,Software,501-1000,"Gotham, England, UK",UK,https://linkedin.com/company/oscorpcorp895,1576,1869
896,Globex Corp 896,globexcorp896.com,1970,Tech,501-1000,"San Francisco, NY, USA",USA,https://linkedin.com/company/globexcorp896,4573,4674
897,Umbrella Corp 897,umbrellacorp897.com,2012,Chemicals,501-1000,"Raccoon City, NY, UK",UK,https://linkedin.com/company/umbrellacorp897,5911,6258
898,Stark Corp 898,starkcorp898.com,1967,Industrial,201-500,"Gotham, State, USA",USA,https://linkedin.com/company/starkcorp898,6604,7021
899,Wonka Corp 899,wonkacorp899.com,1968,Finance,501-1000,"Gotham, CA, USA",USA,https://linkedin.com/company/wonkacorp899,6674,6742
900,Acme Corp 900,acmecorp900.com,1966,Chemicals,5001-10000,"Los Angeles, NY, USA",USA,https://linkedin.com/company/acmecorp900,1340,1796
901,Tyrell Corp 901,tyrellcorp901.com,2018,Software,5001-10000,"New York, State, UK",UK,https://linkedin.com/company/tyrellcorp901,1776,2251
902,Initech Corp 902,initechcorp902.com,2020,Chemicals,11-50,"New York, NY, UK",UK,https://linkedin.com/company/initechcorp902,4596,4995
903,Acme Corp 903,acmecorp903.com,1964,Industrial,501-1000,"London, CA, USA",USA,https://linkedin.com/company/acmecorp903,9385,9613
904,Stark Corp 904,starkcorp904.com,1991,Industrial,5001-10000,"Gotham, CA, USA",USA,https://linkedin.com/company/starkcorp904,7248,7422
905,Wayne Corp 905,waynecorp905.com,1981,Software,201-500,"Palo Alto, State, UK",UK,https://linkedin.com/company/waynecorp905,5751,6042
906,Globex Corp 906,globexcorp906.com,1976,Engineering,201-500,"New York, England, USA",USA,https://linkedin.com/company/globexcorp906,2284,2362
907,Tyrell Corp 907,tyrellcorp907.com,1964,Software,201-500,"Palo Alto, CA, UK",UK,https://linkedin.com/company/tyrellcorp907,4013,4311
908,Umbrella Corp 908,umbrellacorp908.com,2016,Finance,51-200,"New York, NY, USA",USA,https://linkedin.com/company/umbrellacorp908,2076,2402
909,Globex Corp 909,globexcorp909.com,2000,Biotech,5001-10000,"Palo Alto, NY, UK",UK,https://linkedin.com/company/globexcorp909,3925,4256
910,Stark Corp 910,starkcorp910.com,1993,Biotech,51-200,"San Francisco, England, UK",UK,https://linkedin.com/company/starkcorp910,3988,4102
911,Initech Corp 911,initechcorp911.com,2013,Tech,5001-10000,"Raccoon City, England, UK",UK,https://linkedin.com/company/initechcorp911,1253,1715
912,Initech Corp 912,initechcorp912.com,1981,Food & Beverage,501-1000,"Gotham, State, USA",USA,https://linkedin.com/company/initechcorp912,2280,2484
913,Oscorp Corp 913,oscorpcorp913.com,1984,Engineering,51-200,"Raccoon City, NY, UK",UK,https://linkedin.com/company/oscorpcorp913,2665,3164
914,Wayne Corp 914,waynecorp914.com,1974,Engineering,1001-5000,"London, NY, USA",USA,https://linkedin.com/company/waynecorp914,7184,7345
915,Wayne Corp 915,waynecorp915.com,1968,Finance,5001-10000,"London, NY, USA",USA,https://linkedin.com/company/waynecorp915,662,992
916,Oscorp Corp 916,oscorpcorp916.com,1983,Technology,501-1000,"New York, State, USA",USA,https://linkedin.com/company/oscorpcorp916,4280,4510
917,Stark Corp 917,starkcorp917.com,1985,Biotech,51-200,"Gotham, State, USA",USA,https://linkedin.com/company/starkcorp917,8410,8579
918,Umbrella Corp 918,umbrellacorp918.com,2000,Technology,201-500,"New York, England, UK",UK,https://linkedin.com/company/umbrellacorp918,7630,7755
919,Hooli Corp 919,hoolicorp919.com,1986,Tech,201-500,"London, England, USA",USA,https://linkedin.com/company/hoolicorp919,9250,9472
920,Globex Corp 920,globexcorp920.com,2010,Tech,501-1000,"New York, England, USA",USA,https://linkedin.com/company/globexcorp920,7040,7077
921,Acme Corp 921,acmecorp921.com,2018,Industrial,5001-10000,"San Francisco, State, UK",UK,https://linkedin.com/company/acmecorp921,1173,1622
922,Wayne Corp 922,waynecorp922.com,1966,Pharma,201-500,"Raccoon City, England, UK",UK,https://linkedin.com/company/waynecorp922,8098,8561
923,Wonka Corp 923,wonkacorp923.com,1967,Software,501-1000,"London, State, UK",UK,https://linkedin.com/company/wonkacorp923,7965,8097
924,Hooli Corp 924,hoolicorp924.com,1969,Industrial,501-1000,"Raccoon City, England, UK",UK,https://linkedin.com/company/hoolicorp924,4759,4991
925,Initech Corp 925,initechcorp925.com,2019,Technology,51-200,"London, NY, UK",UK,https://linkedin.com/company/initechcorp925,6149,6369
926,Acme Corp 926,acmecorp926.com,2019,Chemicals,51-200,"Gotham, England, UK",UK,https://linkedin.com/company/acmecorp926,401,647
927,Acme Corp 927,acmecorp927.com,2004,Software,501-1000,"Gotham, NY, USA",USA,https://linkedin.com/company/acmecorp927,162,231
928,Wayne Corp 928,waynecorp928.com,1973,Chemicals,11-50,"San Francisco, CA, USA",USA,https://linkedin.com/company/waynecorp928,4337,4748
929,Umbrella Corp 929,umbrellacorp929.com,2005,Tech,51-200,"San Francisco, England, UK",UK,https://linkedin.com/company/umbrellacorp929,6240,6297
930,Initech Corp 930,initechcorp930.com,1973,Finance,5001-10000,"New York, England, UK",UK,https://linkedin.com/company/initechcorp930,4806,5149
931,Wayne Corp 931,waynecorp931.com,2002,Biotech,1001-5000,"London, State, USA",USA,https://linkedin.com/company/waynecorp931,3448,3663
932,Hooli Corp 932,hoolicorp932.com,1989,Industrial,1001-5000,"Raccoon City, England, UK",UK,https://linkedin.com/company/hoolicorp932,362,372
933,Wonka Corp 933,wonkacorp933.com,1979,Biotech,501-1000,"New York, NY, USA",USA,https://linkedin.com/company/wonkacorp933,5608,5969
934,Stark Corp 934,starkcorp934.com,2015,Engineering,201-500,"San Francisco, State, USA",USA,https://linkedin.com/company/starkcorp934,8593,8720
935,Oscorp Corp 935,oscorpcorp935.com,1970,Tech,5001-10000,"Los Angeles, NY, USA",USA,https://linkedin.com/company/oscorpcorp935,2965,3286
936,Wayne Corp 936,waynecorp936.com,1962,Software,5001-10000,"London, CA, USA",USA,https://linkedin.com/company/waynecorp936,5701,6136
937,Acme Corp 937,acmecorp937.com,2009,Tech,11-50,"New York, State, UK",UK,https://linkedin.com/company/acmecorp937,5637,6059
938,Initech Corp 938,initechcorp938.com,1986,Chemicals,11-50,"New York, England, USA",USA,https://linkedin.com/company/initechcorp938,6914,6933
939,Oscorp Corp 939,oscorpcorp939.com,1980,Engineering,11-50,"Palo Alto, CA, USA",USA,https://linkedin.com/company/oscorpcorp939,5531,5573
940,Oscorp Corp 940,oscorpcorp940.com,1998,Technology,501-1000,"Los Angeles, CA, UK",UK,https://linkedin.com/company/oscorpcorp940,410,426
941,Wonka Corp 941,wonkacorp941.com,1973,Technology,201-500,"New York, England, USA",USA,https://linkedin.com/company/wonkacorp941,8569,8651
942,Oscorp Corp 942,oscorpcorp942.com,2008,Technology,501-1000,"Palo Alto, CA, USA",USA,https://linkedin.com/company/oscorpcorp942,1516,1580
943,Tyrell Corp 943,tyrellcorp943.com,1979,Chemicals,1001-5000,"London, England, USA",USA,https://linkedin.com/company/tyrellcorp943,6248,6548
944,Hooli Corp 944,hoolicorp944.com,1991,Finance,5001-10000,"San Francisco, State, UK",UK,https://linkedin.com/company/hoolicorp944,9330,9541
945,Stark Corp 945,starkcorp945.com,1973,Food & Beverage,11-50,"Raccoon City, England, USA",USA,https://linkedin.com/company/starkcorp945,408,417
946,Hooli Corp 946,hoolicorp946.com,1981,Engineering,201-500,"Palo Alto, CA, USA",USA,https://linkedin.com/company/hoolicorp946,9305,9591
947,Globex Corp 947,globexcorp947.com,1987,Finance,5001-10000,"San Francisco, State, USA",USA,https://linkedin.com/company/globexcorp947,8341,8818
948,Hooli Corp 948,hoolicorp948.com,1960,Technology,51-200,"Raccoon City, CA, UK",UK,https://linkedin.com/company/hoolicorp948,80,494
949,Initech Corp 949,initechcorp949.com,2018,Chemicals,201-500,"Raccoon City, England, USA",USA,https://linkedin.com/company/initechcorp949,9766,9895
950,Globex Corp 950,globexcorp950.com,2004,Tech,5001-10000,"New York, England, USA",USA,https://linkedin.com/company/globexcorp950,6620,6907
951,Umbrella Corp 951,umbrellacorp951.com,1980,Biotech,1001-5000,"Palo Alto, NY, UK",UK,https://linkedin.com/company/umbrellacorp951,6453,6572
952,Globex Corp 952,globexcorp952.com,2021,Food & Beverage,51-200,"Los Angeles, England, USA",USA,https://linkedin.com/company/globexcorp952,1959,2292
953,Tyrell Corp 953,tyrellcorp953.com,2008,Technology,51-200,"London, NY, UK",UK,https://linkedin.com/company/tyrellcorp953,5926,6224
954,Globex Corp 954,globexcorp954.com,1987,Chemicals,201-500,"San Francisco, NY, USA",USA,https://linkedin.com/company/globexcorp954,9573,9627
955,Umbrella Corp 955,umbrellacorp955.com,2019,Engineering,5001-10000,"Palo Alto, England, USA",USA,https://linkedin.com/company/umbrellacorp955,4051,4344
956,Tyrell Corp 956,tyrellcorp956.com,2000,Industrial,501-1000,"Los Angeles, CA, USA",USA,https://linkedin.com/company/tyrellcorp956,2324,2380
957,Tyrell Corp 957,tyrellcorp957.com,2012,Food & Beverage,51-200,"Gotham, State, UK",UK,https://linkedin.com/company/tyrellcorp957,9743,10041
958,Stark Corp 958,starkcorp958.com,1997,Industrial,5001-10000,"Los Angeles, England, UK",UK,https://linkedin.com/company/starkcorp958,7973,8319
959,Oscorp Corp 959,oscorpcorp959.com,2017,Industrial,1001-5000,"Los Angeles, England, USA",USA,https://linkedin.com/company/oscorpcorp959,4712,5097
960,Globex Corp 960,globexcorp960.com,1964,Finance,51-200,"London, NY, UK",UK,https://linkedin.com/company/globexcorp960,663,885
961,Acme Corp 961,acmecorp961.com,1995,Finance,5001-10000,"Gotham, CA, UK",UK,https://linkedin.com/company/acmecorp961,9476,9512
962,Tyrell Corp 962,tyrellcorp962.com,2006,Industrial,11-50,"New York, State, UK",UK,https://linkedin.com/company/tyrellcorp962,3190,3258
963,Acme Corp 963,acmecorp963.com,2012,Engineering,1001-5000,"New York, State, UK",UK,https://linkedin.com/company/acmecorp963,43,255
964,Hooli Corp 964,hoolicorp964.com,2000,Food & Beverage,11-50,"New York, NY, USA",USA,https://linkedin.com/company/hoolicorp964,4524,4831
965,Globex Corp 965,globexcorp965.com,2007,Technology,51-200,"New York, State, USA",USA,https://linkedin.com/company/globexcorp965,3295,3781
966,Hooli Corp 966,hoolicorp966.com,2009,Industrial,501-1000,"Los Angeles, CA, UK",UK,https://linkedin.com/company/hoolicorp966,9629,10084
967,Tyrell Corp 967,tyrellcorp967.com,2011,Pharma,5001-10000,"Los Angeles, State, UK",UK,https://linkedin.com/company/tyrellcorp967,1044,1294
968,Wonka Corp 968,wonkacorp968.com,1984,Tech,201-500,"Palo Alto, NY, USA",USA,https://linkedin.com/company/wonkacorp968,9791,10078
969,Stark Corp 969,starkcorp969.com,1987,Food & Beverage,51-200,"London, State, USA",USA,https://linkedin.com/company/starkcorp969,21,287
970,Tyrell Corp 970,tyrellcorp970.com,2019,Pharma,1001-5000,"Raccoon City, State, USA",USA,https://linkedin.com/company/tyrellcorp970,2391,2880
971,Hooli Corp 971,hoolicorp971.com,1991,Industrial,201-500,"New York, CA, UK",UK,https://linkedin.com/company/hoolicorp971,5959,6273
972,Tyrell Corp 972,tyrellcorp972.com,1961,Pharma,1001-5000,"Gotham, State, UK",UK,https://linkedin.com/company/tyrellcorp972,1865,1881
973,Initech Corp 973,initechcorp973.com,2014,Technology,201-500,"London, England, UK",UK,https://linkedin.com/company/initechcorp973,1543,1861
974,Wonka Corp 974,wonkacorp974.com,1995,Finance,501-1000,"Palo Alto, State, UK",UK,https://linkedin.com/company/wonkacorp974,7788,8011
975,Oscorp Corp 975,oscorpcorp975.com,2006,Food & Beverage,5001-10000,"San Francisco, State, UK",UK,https://linkedin.com/company/oscorpcorp975,6864,6944
976,Acme Corp 976,acmecorp976.com,1972,Finance,1001-5000,"Raccoon City, England, UK",UK,https://linkedin.com/company/acmecorp976,4893,4929
977,Umbrella Corp 977,umbrellacorp977.com,1984,Finance,501-1000,"Raccoon City, NY, UK",UK,https://linkedin.com/company/umbrellacorp977,2744,2909
978,Wonka Corp 978,wonkacorp978.com,1995,Engineering,1001-5000,"Palo Alto, State, USA",USA,https://linkedin.com/company/wonkacorp978,7226,7308
979,Oscorp Corp 979,oscorpcorp979.com,1968,Chemicals,201-500,"Palo Alto, State, UK",UK,https://linkedin.com/company/oscorpcorp979,3606,3914
980,Oscorp Corp 980,oscorpcorp980.com,1981,Technology,11-50,"London, CA, UK",UK,https://linkedin.com/company/oscorpcorp980,7212,7312
981,Hooli Corp 981,hoolicorp981.com,1960,Engineering,201-500,"New York, State, USA",USA,https://linkedin.com/company/hoolicorp981,6922,7149
982,Acme Corp 982,acmecorp982.com,1974,Software,51-200,"London, State, UK",UK,https://linkedin.com/company/acmecorp982,9336,9687
983,Tyrell Corp 983,tyrellcorp983.com,2004,Technology,51-200,"San Francisco, NY, UK",UK,https://linkedin.com/company/tyrellcorp983,2104,2333
984,Umbrella Corp 984,umbrellacorp984.com,1971,Engineering,1001-5000,"Gotham, CA, UK",UK,https://linkedin.com/company/umbrellacorp984,2545,2898
985,Oscorp Corp 985,oscorpcorp985.com,2007,Finance,1001-5000,"London, CA, USA",USA,https://linkedin.com/company/oscorpcorp985,7518,7835
986,Globex Corp 986,globexcorp986.com,1962,Technology,501-1000,"San Francisco, State, USA",USA,https://linkedin.com/company/globexcorp986,4467,4736
987,Stark Corp 987,starkcorp987.com,2010,Tech,11-50,"San Francisco, NY, USA",USA,https://linkedin.com/company/starkcorp987,3122,3435
988,Oscorp Corp 988,oscorpcorp988.com,1988,Food & Beverage,1001-5000,"Gotham, NY, USA",USA,https://linkedin.com/company/oscorpcorp988,113,447
989,Wonka Corp 989,wonkacorp989.com,1970,Food & Beverage,5001-10000,"London, CA, UK",UK,https://linkedin.com/company/wonkacorp989,220,235
